公司地址,所属区域,所属街道,工作经验,招聘学历,招聘职位,薪资范围,公司名称,服务范围,融资状态,公司规模,联系人,联系人职位
北京,朝阳区,望京,1-3年,本科,Python后台研发工程师,12-20K,Mbyte,互联网,A轮,20-99人,张女士,人事
北京,海淀区,上地,1-3年,大专,Python爬虫开发,8-13K,北京动力天下科技发展有限公司,计算机软件,未融资,0-20人,陈先生,招聘者
北京,海淀区,知春路,经验不限,本科,python开发工程师,15-25K·13薪,天眼查,互联网,A轮,100-499人,赵先生,招聘经理
北京,海淀区,中关村,3-5年,本科,高级Python开发工程师,20-40K,旷视MEGVII,计算机服务,C轮,1000-9999人,洪先生,研发
北京,朝阳区,建外,1-3年,本科,Python开发工程师,10-20K,超对称,互联网,A轮,0-20人,吴先生,招聘者
北京,海淀区,中关村,经验不限,本科,后台开发工程师 （Python、Golang）,20-40K,SmartX,企业服务,B轮,20-99人,杨女士,HR
北京,海淀区,五道口,3-5年,本科,Python服务器开发工程师,18-25K·13薪,微笑科技,游戏,A轮,20-99人,李女士,人事
北京,东城区,雍和宫,3-5年,本科,Python开发工程师,15-25K,奇点浩翰,数据服务,未融资,20-99人,刘女士,商务
北京,海淀区,清河,应届生,本科,python开发工程师,4-9K,汇力凯途,企业服务,未融资,20-99人,高女士,招聘专员
北京,朝阳区,高碑店,5-10年,本科,高级服务研发工程师（Python）,20-30K,掌阅科技,互联网,已上市,500-999人,杨女士,招聘顾问
北京,海淀区,学院路,3-5年,本科,Python工程师-大数据方向,15-30K,志翔科技,信息安全,C轮,100-499人,严先生,大数据算法工程师
北京,朝阳区,建国门,3-5年,本科,Python开发工程师,25-40K,逍遥志,计算机软件,A轮,20-99人,王先生,招聘经理
北京,朝阳区,大望路,1-3年,本科,高级Python开发工程师,15-30K,她理财,互联网,A轮,100-499人,沈女士,人力资源经理
北京,朝阳区,来广营,5-10年,本科,自动化测试工程师（python）,15-22K,北京纬创,计算机软件,不需要融资,1000-9999人,高女士,HR
北京,海淀区,知春路,5-10年,本科,中高级python数据工程师,30-40K,九枝兰,互联网,A轮,20-99人,伍女士,hr
北京,朝阳区,望京,1-3年,本科,python/web前端讲师,12-24K·16薪,猿辅导,在线教育,D轮及以上,1000-9999人,毛女士,hrbp高级经理
北京,海淀区,中关村,3-5年,本科,高级后端开发工程师（python方向）,30-60K,旷视MEGVII,计算机服务,C轮,1000-9999人,HR,HR
北京,朝阳区,国贸,5-10年,本科,Python开发工程师,15-25K,骏嘉鸿,互联网金融,天使轮,20-99人,李先生,hr
北京,海淀区,中关村,4天/周,4个月,Python数据工程师（实习生）,150-200/天,小鹏汽车,汽车生产,B轮,1000-9999人,翁先生,研发副总经理
北京,朝阳区,朝外,应届生,本科,python实习生,4-6K,举人在线,移动互联网,,100-499人,喻先生,人力资源
北京,海淀区,万柳,3-5年,本科,高级Python工程师（211）,15-30K,北京太极华保科技...,数据服务,,100-499人,戴先生,招聘者
北京,通州区,北关,3-5年,本科,高级python工程师,18-25K,中谷金科,互联网,B轮,20-99人,龚女士,HR
北京,朝阳区,建国门,经验不限,本科,Python高级工程师,18-28K·13薪,数城未来,互联网,未融资,0-20人,郗女士,HR
北京,朝阳区,望京,3-5年,本科,Python后端开发工程师,20-40K,磅帝（北京）信息...,移动互联网,B轮,20-99人,李女士,HRVP
北京,朝阳区,北苑,5-10年,本科,python高级开发经理,30-60K,大地宏图,互联网,不需要融资,100-499人,郭女士,招聘经理
北京,海淀区,中关村,3-5年,本科,Python,20-35K,旷视MEGVII,计算机服务,C轮,1000-9999人,陈先生,商业物联事业部总监
北京,,,1-3年,本科,Python后端开发工程师,15-20K,众趣科技,互联网,A轮,20-99人,李先生,web端开发总监
